experiment_name,model_variant,dataset_variant,threshold,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
test1_model_a_on_test,Model A,test,0.89,4808,0.9384,0.9839,0.869,0.9229,72.8,0.429,0,0.0,4808,1771,29,267,2741
test1_model_a_on_test,Model A,test,0.90,4808,0.9374,0.9849,0.8656,0.9214,72.8,0.429,0,0.0,4808,1764,27,274,2743
test1_model_a_on_test,Model A,test,0.91,4808,0.9357,0.9849,0.8616,0.9191,72.8,0.429,0,0.0,4808,1756,27,282,2743
test1_model_a_on_test,Model A,test,0.92,4808,0.9347,0.9854,0.8587,0.9177,72.8,0.429,0,0.0,4808,1750,26,288,2744
test1_model_a_on_test,Model A,test,0.93,4808,0.9332,0.9853,0.8553,0.9157,72.8,0.429,0,0.0,4808,1743,26,295,2744
test1_model_a_on_test,Model A,test,0.94,4808,0.9326,0.9853,0.8538,0.9148,72.8,0.429,0,0.0,4808,1740,26,298,2744
test1_model_a_on_test,Model A,test,0.95,4808,0.9316,0.9863,0.8503,0.9133,72.8,0.429,0,0.0,4808,1733,24,305,2746
test1_model_a_on_test,Model A,test,0.96,4808,0.9297,0.9874,0.8449,0.9106,72.8,0.429,0,0.0,4808,1722,22,316,2748
test1_model_a_on_test,Model A,test,0.97,4808,0.9278,0.989,0.8391,0.9079,72.8,0.429,0,0.0,4808,1710,19,328,2751
test1_model_a_on_test,Model A,test,0.98,4808,0.9226,0.9935,0.8229,0.9002,72.8,0.429,0,0.0,4808,1677,11,361,2759
test1_model_a_on_test,Model A,test,0.99,4808,0.911,0.9963,0.7929,0.8831,72.8,0.429,0,0.0,4808,1616,6,422,2764
test1_model_a_on_test,Model A,test,1.00,4808,0.5761,0.0,0.0,0.0,72.8,0.429,0,0.0,4808,0,0,2038,2770
test2_model_a_on_mutated_data,Model A,mutated_data,0.00,9012,0.4834,0.4834,1.0,0.6517,38.537,0.6458,0,0.0,9012,4356,4656,0,0
test2_model_a_on_mutated_data,Model A,mutated_data,0.01,9012,0.5707,0.5297,0.9956,0.6915,38.537,0.6458,0,0.0,9012,4337,3850,19,806
test2_model_a_on_mutated_data,Model A,mutated_data,0.02,9012,0.6152,0.5576,0.9871,0.7126,38.537,0.6458,0,0.0,9012,4300,3412,56,1244
